XB,FWMJ,CZMJ,YZJ,FWMJ.1,FWZJ,SFAJ,Age,RentType,BuyerAge,MonthlyRentUnitArea,In_Province,In_City,Label
1,110.72,70.36,812.5,70.05,364775.0,1.0,43,0.5,39,8.857177263969172,1,0,0
1,55.955,19.0,1000.0,88.98,890000.0,1.0,27,0.0,23,54.16666666666666,1,0,0
1,85.71,10.0,200.0,101.74,841510.0,1.0,38,0.0,35,20.0,1,0,0
1,55.375,29.955,375.0,107.66,595311.0,1.0,48,0.5,44,23.08442496628781,1,0,0
0,121.94,121.94,1800.0,108.21,1460000.0,1.0,34,1.0,29,14.761358044940136,1,0,0
1,89.05,89.05,3000.0,97.66,846976.0,1.0,27,1.0,26,33.68893879842785,1,0,0
0,145.51,145.51,2800.0,117.0,1084510.0,1.0,34,1.0,33,19.24266373445124,0,0,0
1,501.48,40.0,450.0,104.74,815010.0,1.0,34,0.0,32,11.25,1,0,0
1,196.84,65.61,2600.0,128.76,857120.0,1.0,34,0.0,30,39.62810547172687,1,1,0
0,98.21,79.08666666666666,1200.0,95.5,866494.0,1.0,34,0.6666666666666666,30,24.644818803890885,1,0,0
1,96.7,96.7,1400.0,80.84,641998.0,1.0,54,1.0,51,14.477766287487071,1,0,0
1,134.16,23.0,1030.0,135.76,1682409.0,1.0,29,0.0,27,44.78260869565217,1,0,0
1,92.18,92.18,3500.0,86.88,1800000.0,0.0,57,1.0,55,37.96919071382078,1,0,0
1,46.89,46.89,1300.0,84.08,413241.0,1.0,36,1.0,35,27.72446150565153,0,0,0
0,327.39,30.0,1166.0,91.06,800000.0,1.0,40,0.0,36,38.86666666666667,1,0,0
1,74.95,74.95,1800.0,109.68,1982912.0,1.0,36,1.0,33,24.01601067378252,1,0,0
1,105.74,105.74,250.0,84.62,301202.0,1.0,47,1.0,42,2.364289767353887,1,0,0
1,47.29,47.29,750.0,94.17,1196462.0,1.0,27,1.0,23,15.859589765278072,1,0,0
0,111.92,10.55,1045.0,74.98,1320000.0,1.0,32,0.0,30,102.8279069767442,1,0,0
1,89.59,89.59,1800.0,100.05,762634.0,1.0,52,1.0,51,20.0915280723295,1,0,0
1,461.38,40.0,800.0,99.62,533901.0,1.0,49,0.0,47,20.0,1,0,0
1,118.66,118.66,1000.0,95.61,751900.0,1.0,30,1.0,27,8.427439743805833,1,0,0
0,86.57,9.6,1008.0,80.14,1280000.0,1.0,29,0.0,28,105.0,1,0,0
0,88.6,88.6,1000.0,98.23,742800.0,1.0,35,1.0,33,11.286681715575622,0,0,0
1,86.76,86.76,2000.0,95.36,1150000.0,1.0,39,1.0,34,23.05209774089442,0,0,0
0,50.12,50.12,2000.0,168.99,3965180.0,0.0,34,1.0,30,39.904229848363926,1,0,0
0,84.63,52.315,800.0,81.16,1110187.6,1.0,43,0.5,40,20.908070424199455,1,0,0
1,113.81,45.0,1000.0,61.69,222281.0,1.0,40,0.0,39,22.22222222222222,0,0,0
1,368.1,84.35,750.0,118.52,1329496.0,1.0,31,0.5,27,9.273504273504274,1,0,0
0,92.69,10.0,280.0,74.17,950000.0,1.0,35,0.0,31,28.0,1,0,0
0,106.65,106.65,1900.0,109.45,863000.0,1.0,34,1.0,33,17.815283638068447,1,0,0
1,61.97,61.97,1800.0,91.85,1820000.0,1.0,33,1.0,32,29.04631273196708,1,0,0
1,94.73,94.73,1000.0,90.23,620000.0,1.0,40,1.0,37,10.656832456628024,1,0,0
1,99.45,99.45,700.0,91.61,680000.0,1.0,35,1.0,31,7.038712921065862,1,0,0
0,117.49,15.0,300.0,82.99,571112.0,0.0,31,0.0,27,20.0,1,0,0
0,70.74,70.74,127332.0,133.16,2597459.0,1.0,42,1.0,37,1800.0000000000002,1,0,0
0,92.89,92.89,2000.0,92.89,1455000.0,1.0,35,1.0,32,21.530842932500807,1,0,0
0,141.91,15.0,2212.0,155.6,2054457.0,1.0,35,0.0,32,147.46666666666667,1,1,0
0,90.9,90.9,2000.0,46.44,350000.0,0.0,30,1.0,26,22.002200220022,1,0,0
1,74.4,74.4,800.0,89.79,449876.0,1.0,35,1.0,31,10.75268817204301,1,1,0
0,59.74,59.74,800.0,127.88,1029835.0,1.0,33,1.0,28,13.391362571141611,1,0,0
0,88.16,22.0,200.0,105.88,767418.0,1.0,36,0.0,33,9.090909090909092,1,0,0
1,63.44,63.44,6000.0,105.6,1058117.0,1.0,32,1.0,30,94.57755359394704,1,0,0
0,66.28,16.0,550.0,94.42,1636468.0,1.0,33,0.0,30,34.375,1,0,0
1,98.19,32.0,666.0,83.0,1050000.0,1.0,35,0.0,31,20.8125,1,0,0
0,58.28,58.28,1400.0,48.05,330186.0,1.0,44,1.0,43,24.02196293754289,1,0,0
0,78.41,78.41,2500.0,116.72,2212623.92,1.0,29,1.0,28,31.88368830506313,1,0,0
1,65.5,65.5,2000.0,104.79,971889.0,1.0,51,1.0,48,30.53435114503817,1,0,0
0,121.74,15.0,500.0,76.04,380124.0,1.0,33,0.0,32,33.333333333333336,1,0,0
0,93.62,93.62,3250.0,116.59,2527826.0,1.0,37,1.0,35,35.17651872973677,1,0,0
0,53.23,20.0,500.0,142.95,1568594.0,0.0,37,0.0,34,25.0,1,0,0
1,113.65,20.0,1600.0,87.17,1488000.0,1.0,39,0.0,35,80.0,1,0,0
1,129.18,20.0,1842.0,135.0,1558270.0,0.0,30,0.0,27,92.1,1,0,0
0,51.76,51.76,800.0,117.08,510852.0,1.0,30,1.0,26,15.45595054095827,1,0,0
0,47.76,25.0,2200.0,105.64,649418.0,1.0,39,0.0,35,88.0,1,0,0
1,54.21,54.21,330.0,73.97,373330.0,1.0,41,1.0,39,6.087437742114001,0,0,0
1,70.005,70.005,3200.0,72.79,1588000.0,1.0,29,1.0,25,45.166551080613175,1,1,0
1,90.27,90.27,2000.0,139.69,2000734.0,1.0,27,1.0,24,22.15575495735017,1,0,0
1,50.23666666666667,50.23666666666667,4066.6666666666665,116.02,1488000.0,1.0,31,1.0,29,98.29042943411632,1,0,0
0,114.75,114.75,3000.0,142.43,1637473.66,1.0,30,1.0,27,26.1437908496732,1,0,0
1,117.05,117.05,2000.0,104.67,834322.0,1.0,38,1.0,34,17.086715079026057,1,0,0
0,114.86,40.0,66.0,113.8,660438.0,1.0,57,0.0,52,1.65,1,1,0
1,90.0,40.0,1500.0,78.85,379668.0,1.0,50,0.0,46,37.5,0,0,0
1,68.27,68.27,2300.0,57.8,1323488.0,0.0,33,1.0,31,33.68976124212685,0,0,0
1,90.58,7.06,930.0,106.74,2598000.0,0.0,33,0.0,32,131.72804532577905,1,0,0
1,95.2,95.2,1000.0,109.13,730000.0,1.0,40,1.0,36,10.504201680672267,1,0,0
1,68.98,61.48,1075.0,93.79,1130717.0,1.0,51,0.75,46,18.373533810336976,1,0,0
1,82.79,82.79,1000.0,108.42,359000.0,1.0,33,1.0,31,12.078753472641624,1,1,0
1,72.33,72.33,1250.0,104.94,621742.0,1.0,46,1.0,43,17.28190239181529,1,0,0
0,66.83,18.0,1000.0,97.26,809008.0,1.0,35,0.0,33,55.55555555555556,1,0,0
0,75.86,75.86,1200.0,82.09,940000.0,1.0,39,1.0,37,15.818613234906406,1,0,0
1,99.16,99.16,1100.0,108.85,1100000.0,1.0,35,1.0,31,11.09318273497378,1,0,0
0,87.41,87.41,1000.0,86.94,739571.78,1.0,30,1.0,29,11.440338634023568,0,0,0
1,81.12,81.12,1100.0,132.71,735000.0,1.0,34,1.0,30,13.56015779092702,1,0,0
1,78.39,21.5,1600.0,99.68,1668946.76,1.0,30,0.0,26,74.4186046511628,1,0,0
0,94.3,51.87,1041.5,104.86,2151279.0,1.0,35,0.5,30,28.288577740625747,0,0,0
0,81.64,81.64,1700.0,90.6,380000.0,0.0,33,1.0,30,20.82312591866732,1,0,0
1,66.85,66.85,1100.0,84.95,1080000.0,1.0,57,1.0,54,16.454749439042633,1,0,0
1,109.9,30.0,200.0,110.83,560799.0,1.0,33,0.0,30,6.666666666666667,1,0,0
1,67.5,67.5,3500.0,88.73,392150.0,1.0,31,1.0,28,51.851851851851855,0,0,0
1,41.05,41.05,1000.0,50.1,580000.0,1.0,32,1.0,31,24.3605359317905,0,0,0
0,70.78,70.78,1100.0,99.46,1614223.6,1.0,41,1.0,39,15.541113308844306,1,0,0
1,654.78,50.0,1200.0,75.69,369813.0,0.0,28,0.0,23,24.0,1,0,0
1,74.27,74.27,1150.0,75.5,1020000.0,1.0,46,1.0,43,15.484044701763835,0,0,0
1,136.06,10.0,200.0,122.43,860160.0,1.0,30,0.0,27,20.0,1,0,0
1,52.81,52.81,1400.0,114.3,1396312.0,1.0,33,1.0,32,26.510130657072523,1,0,0
1,92.72,92.72,1000.0,93.11,766825.0,1.0,37,1.0,35,10.785159620362382,1,0,0
1,83.32,83.32,700.0,113.73,632442.0,1.0,35,1.0,34,8.401344215074413,1,1,0
0,371.24,20.0,400.0,67.34,871307.0,1.0,52,0.0,48,20.0,1,0,0
1,126.98,20.0,950.0,111.51,1710357.0,1.0,30,0.0,29,47.5,1,0,0
0,84.71,28.0,3000.0,72.58,700000.0,0.0,30,0.0,26,107.14285714285714,1,0,0
0,77.04,38.0,1000.0,83.13,690979.79,1.0,34,0.0,30,26.31578947368421,1,1,0
0,70.69,53.015,771.0,73.63,1250000.0,0.0,26,0.5,22,14.741500688139698,1,0,0
1,78.81,78.81,1200.0,82.03,689462.0,1.0,31,1.0,28,15.226494099733536,0,0,0
0,80.15,80.15,1500.0,83.42,479721.0,1.0,42,1.0,38,18.714909544603863,1,0,0
1,126.07,126.07,2000.0,76.61,405968.0,1.0,29,1.0,24,15.864202427222972,1,0,0
1,120.62,22.5,300.0,113.32,971924.0,1.0,45,0.0,42,13.5,1,0,0
0,43.27,43.27,2800.0,139.47,2994700.0,1.0,31,1.0,29,64.70996071180956,0,0,0
1,79.7,79.7,1000.0,113.8,1000000.0,0.0,25,1.0,21,12.547051442910917,1,0,0
0,94.24,38.08,500.0,83.24,638000.0,1.0,25,0.3333333333333333,21,35.1018675721562,1,0,0
0,141.65,141.65,3300.0,118.92,841414.0,1.0,31,1.0,30,23.296858453935755,1,0,0
0,71.0,71.0,1300.0,52.91,1100000.0,1.0,29,1.0,24,18.309859154929576,1,0,0
1,85.19,85.19,2200.0,85.68,930000.0,1.0,33,1.0,30,25.82462730367414,1,0,0
0,99.44,99.44,1500.0,99.44,620000.0,1.0,39,1.0,36,15.08447304907482,1,0,0
0,109.68,32.0,1800.0,121.43,961531.0,1.0,45,0.0,44,56.25,1,0,0
1,88.42,30.0,2000.0,116.81,1100000.0,0.0,29,0.0,27,66.66666666666667,1,0,0
0,45.46,45.46,2500.0,146.55,1703869.0,1.0,31,1.0,30,54.99340079190497,0,0,0
1,70.18,70.18,600.0,75.61,381074.0,1.0,32,1.0,27,8.549444286121402,1,0,0
1,123.04,123.04,500.0,88.43,584285.0,1.0,35,1.0,32,4.06371911573472,1,0,0
1,118.24,7.8,790.0,76.07,834581.0,1.0,29,0.0,28,101.28205128205128,1,0,0
1,66.82,66.82,1600.0,107.41,819621.0,1.0,34,1.0,32,23.94492666866208,1,0,0
0,51.12,51.12,1400.0,76.92,843000.0,1.0,30,1.0,29,27.386541471048517,1,0,0
1,66.53,66.53,1300.0,139.76,2421342.0,1.0,30,1.0,28,19.540057117090036,1,0,0
0,102.58,30.0,800.0,117.54,1630000.0,1.0,38,0.0,35,26.666666666666668,1,0,0
1,58.3,58.3,1500.0,95.27,560950.0,1.0,36,1.0,34,25.728987993138936,1,1,0
1,70.4,40.0,1000.0,108.7,966000.0,1.0,29,0.0,27,25.0,1,0,0
1,433.05,20.0,300.0,106.49,448681.0,1.0,52,0.0,49,15.0,1,0,0
1,57.38,5.0,500.0,76.47,539112.0,1.0,47,0.0,43,100.0,1,0,0
0,83.71,30.0,100.0,98.66,622962.0,0.0,35,0.0,31,3.333333333333333,1,0,0
1,81.31,81.31,1600.0,82.61,697205.0,1.0,45,1.0,43,19.677776411265526,0,0,0
1,51.44,51.44,1050.0,106.56,1926417.0,1.0,29,1.0,27,20.41213063763608,1,0,0
1,78.18,78.18,9600.0,115.54,1025764.0,1.0,30,1.0,27,122.79355333844973,1,0,0
1,82.62,82.62,1800.0,118.94,2650428.8,1.0,39,1.0,34,21.78649237472767,1,0,0
1,66.28,66.28,1000.0,89.44,1200000.0,1.0,34,1.0,30,15.087507543753771,1,0,0
1,103.2,103.2,1000.0,98.87,1043997.0,1.0,32,1.0,29,9.689922480620154,1,0,0
1,82.0,82.0,833.0,88.08,450000.0,0.0,36,1.0,35,10.158536585365852,1,1,0
0,103.28,103.28,1000.0,141.64,1503934.0,1.0,39,1.0,35,9.682416731216112,1,0,0
0,85.0,20.0,350.0,63.14,450000.0,0.0,34,0.0,30,17.5,1,0,0
0,122.25,122.25,1000.0,81.1,550000.0,0.0,35,1.0,31,8.1799591002045,1,0,0
1,85.62,22.0,500.0,99.93,713994.0,1.0,28,0.0,26,22.727272727272727,1,0,0
1,79.65,79.65,1400.0,134.69,1478109.0,1.0,34,1.0,30,17.576898932831135,1,0,0
0,74.52,74.52,1000.0,72.2,650000.0,1.0,36,1.0,32,13.419216317767043,1,0,0
0,101.89,101.89,1125.0,90.27,517376.0,1.0,48,1.0,47,11.041319069584846,1,1,0
0,68.04,68.04,1350.0,98.14,1698000.0,1.0,37,1.0,34,19.84126984126984,1,0,0
